"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
703|"1sTtlEZeVeeEnxEztJNkYN"|"Jeremy Zucker"|"emily"|233746|"brent ii"|3|"2021-02-05"|5|0.551|0.249|0|-11.392|1|0.06|0.68|0.0022|0.112|0.257|156.02|3
704|"1PiKcVhlmHPvL7IPjx9dJk"|"Mike Posner"|"I Took A Pill In Ibiza"|280800|"At Night, Alone."|2|"2016-05-06"|18|0.636|0.319|10|-10.065|1|0.0718|0.618|1.7e-06|0.125|0.378|74.109|4
705|"2bbhyUWJ5VjdfI3P4PRLu2"|"Regina Spektor"|"Samson"|189506|"Begin to Hope (Special Edition)"|3|"2006-06-13"|17|0.49|0.193|11|-9.544|1|0.0421|0.862|9.74e-06|0.113|0.184|89.154|4
706|"1FunUekKzZ9Mgt3BMYCrfF"|"Tiz McNamara"|"Falling Asleep"|202400|"Falling Asleep"|1|"2019-10-25"|1|0.537|0.201|2|-12.948|1|0.033|0.899|0.00163|0.077|0.196|134.087|4
707|"41bqxcnDRcYsBJnJKtPCdp"|"BANKS"|"To The Hilt"|276746|"To The Hilt"|1|"2016-09-16"|1|0.327|0.101|8|-13.949|0|0.0525|0.948|0|0.0945|0.0866|171.734|4
708|"0wB3UtpTFLO92t3AE1tjbs"|"Nora Lilith"|"Misfed"|233483|"Misfed"|1|"2021-06-30"|1|0.324|0.134|8|-15.98|0|0.0396|0.94|0.00127|0.387|0.055|92.29|4
709|"1ytTeSRAU6IRo2itVDwtPv"|"Radiohead"|"Creep"|238640|"The Best Of"|4|"2008-04-07"|29|0.515|0.43|7|-9.935|1|0.0369|0.0102|0.000141|0.129|0.104|91.841|4
710|"2YHqjkv93j4cg51bl7iGMP"|"little dipper"|"Faking Love"|190386|"Faking Love"|1|"2021-02-12"|1|0.735|0.336|9|-12.483|1|0.0812|0.171|0.000332|0.118|0.557|117.312|4
711|"3N2vr4m44BBZiVCZ0O4bnf"|"Dillon"|"Thirteen Thirty-Five"|223085|"This Silence Kills"|3|"2011-11-11"|12|0.67|0.293|5|-10.56|0|0.0486|0.786|0|0.215|0.36|66.974|4
712|"7v3tuzPub1Qd490tiVddwF"|"Johnning"|"Last Time"|202480|"Last Time"|1|"2020-05-15"|1|0.628|0.587|7|-5.195|1|0.0441|0.111|0|0.156|0.4|140.01|4
713|"2SbIONplUQ0BvXyRgGDgCz"|"Bombay Bicycle Club"|"Dust On The Ground"|243752|"Flaws"|3|"2010-01-01"|11|0.605|0.319|10|-10.892|1|0.0306|0.757|0.00237|0.116|0.273|109.599|4
714|"2v31S0mH8FcKkaQRFvxuOZ"|"Liush"|"YOM TOV"|206911|"Thetimewewanderoff"|2|"2021-04-30"|5|0.322|0.246|10|-12.154|0|0.0323|0.877|0.0064|0.113|0.175|168.879|3
715|"7eClkLWbrr3TorYedzaDkI"|"Alice Boman"|"Waiting"|184320|"Skisser"|1|"2013-05-22"|5|0.236|0.33|8|-10.085|1|0.0325|0.975|0.126|0.116|0.0827|86.546|4
716|"7pt64sepCy5QmDrgy9wOJS"|"Kamal."|"blue"|184500|"blue"|1|"2020-05-20"|1|0.725|0.258|11|-14.065|0|0.255|0.668|2.63e-05|0.0955|0.173|127.876|3
717|"5OiaAaIMYlCZONyDBxqk4G"|"Bright Eyes"|"First Day Of My Life"|188800|"I'm Wide Awake, It's Morning"|6|"2005-01-25"|10|0.602|0.201|4|-17.024|1|0.0363|0.915|8.28e-05|0.0952|0.385|95.345|4
718|"1SF6aV27ehCudDBv0MZjAD"|"GRAE"|"The End of the World"|146940|"The End of the World"|1|"2020-12-18"|1|0.34|0.388|4|-9.455|0|0.041|0.837|8.19e-05|0.316|0.22|79.268|4
719|"2qoKkOBw3dAd8AlITOQ2Ca"|"LEFT."|"Indigo"|196589|"Indigo"|1|"2019-03-08"|1|0.503|0.504|0|-6.843|0|0.416|0.488|1.59e-06|0.122|0.67|85.39|4
720|"5qrSlOut2rNAWv3ubArkNy"|"Dean Lewis"|"Be Alright"|196493|"A Place We Knew"|6|"2019-03-22"|12|0.551|0.537|11|-7.595|1|0.034|0.705|0|0.0802|0.493|126.421|4
721|"2ZaYFNn1YQuLSVdHhanr4Q"|"Joshua Radin"|"Only You"|149013|"We Were Here"|11|"2006"|12|0.545|0.255|8|-14.844|1|0.0311|0.362|1.77e-05|0.0841|0.831|98.088|4
722|"2KK7OUblFkd7TT9TjWgW7z"|"Tash Sultana"|"Harvest Love"|365928|"Harvest Love"|1|"2018-07-13"|1|0.276|0.251|2|-9.078|1|0.0295|0.314|6.05e-06|0.122|0.18|95.705|4
723|"1KsRPfyQUHXn4HpNh1A0vP"|"boyhood."|"I Love You Always Forever"|207990|"I Love You Always Forever"|1|"2021-02-05"|1|0.679|0.513|0|-10.889|1|0.041|0.299|0.315|0.113|0.137|100.024|4
