"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
141|"4sqQci4nqA37mA5tcHJnfo"|"Victorious Cast"|"Give It Up (feat. Elizabeth Gillies & Ariana Grande)"|165146|"Victorious: Music From The Hit TV Show (feat. Victoria Justice)"|7|"2010"|13|0.758|0.944|2|-1.541|0|0.0696|0.0949|6.49e-06|0.402|0.696|119.97|4
142|"5LtNBCM2ve0SxP0dlRVvMu"|"Bebe Rexha"|"I'm Gonna Show You Crazy"|207775|"I'm Gonna Show You Crazy"|1|"2014-12-19"|1|0.474|0.537|2|-6.77|1|0.0649|0.0758|0|0.316|0.335|90.103|4
143|"4QVFtAswXqPoAWRLo5yu8a"|"Little Mix"|"Power (feat. Stormzy)"|242293|"Glory Days (Expanded Edition)"|5|"2016-11-18"|21|0.586|0.865|7|-4.092|1|0.319|0.0345|5.7e-06|0.165|0.468|172.912|4
144|"1gt1fWqUZOUgT2kTArAw4E"|"The Ting Tings"|"That's Not My Name"|310573|"We Started Nothing"|2|"2008-05-16"|10|0.755|0.901|9|-3.152|1|0.0893|0.0451|0.0373|0.363|0.959|145.042|4
145|"6nhvIZeu7g6OsDCLj1DKLl"|"Selena Gomez & The Scene"|"Tell Me Something I Don't Know"|175333|"Kiss & Tell"|13|"2009-01-01"|13|0.71|0.935|7|-3.339|0|0.193|0.14|0|0.0593|0.914|145.063|4
146|"0he909ZlMUk631mzXeSgq4"|"Selena Gomez"|"Cut You Off"|182016|"Rare (Deluxe)"|13|"2020-04-09"|17|0.855|0.293|5|-8.676|1|0.286|0.3|9.19e-05|0.091|0.841|139.745|4
147|"0VwNdo84DaVYLIkbVO86ND"|"Taylor Swift"|"We Are Never Ever Getting Back Together"|193146|"Red (Big Machine Radio Release Special)"|16|"2012-10-22"|32|0.628|0.676|7|-5.911|1|0.0916|0.00957|2.65e-05|0.121|0.75|85.984|4
148|"003vvx7Niy0yvhvHt4a68B"|"The Killers"|"Mr. Brightside"|222973|"Hot Fuss"|2|"2004"|12|0.352|0.911|1|-5.23|1|0.0747|0.00121|0|0.0995|0.236|148.033|4
149|"1f3yAtsJtY87CTmM8RLnxf"|"Nirvana"|"Smells Like Teen Spirit"|301920|"Nevermind (Deluxe Edition)"|1|"1991-09-26"|40|0.502|0.912|1|-4.556|1|0.0564|2.55e-05|0.000173|0.106|0.72|116.761|4
150|"6ZC0G0vb5tr86xeJP766Ok"|"Holly Humberstone"|"Drop Dead"|177162|"Falling Asleep At The Wheel"|4|"2020-08-14"|6|0.577|0.393|0|-7.322|1|0.038|0.586|0.000181|0.0927|0.132|89.858|4
151|"0oEFdKyCW7zMSIHazc8Yit"|"Gwen Stefani"|"What You Waiting For?"|221226|"Love Angel Music Baby (Deluxe Version)"|1|"2005-01-01"|20|0.676|0.948|5|-2.557|1|0.0628|0.0509|8.19e-06|0.384|0.731|136.027|4
152|"20js7QbHkIuzrgecUTPfl7"|"Louisa"|"So Good"|190853|"So Good"|1|"2016-10-28"|1|0.549|0.684|0|-4.875|0|0.0349|0.0938|0|0.235|0.408|147.012|4
153|"4G4EoG2Dk7kjisJKv9DP5h"|"Noah Cyrus"|"Mad at You (with Gallant)"|226746|"Mad at You (with Gallant)"|1|"2018-09-07"|1|0.359|0.421|5|-4.069|0|0.0356|0.818|0|0.153|0.499|161.244|3
154|"1R0a2iXumgCiFb7HEZ7gUE"|"Taylor Swift"|"Don’t Blame Me"|236413|"reputation"|4|"2017-11-10"|15|0.615|0.534|9|-6.719|0|0.0386|0.106|1.76e-05|0.0607|0.193|135.917|4
155|"6PERP62TejQjgHu81OHxgM"|"Olivia Rodrigo"|"good 4 u"|178147|"good 4 u"|1|"2021-05-14"|1|0.556|0.661|6|-5.052|0|0.204|0.3|0|0.101|0.668|168.56|4
156|"6SRsiMl7w1USE4mFqrOhHC"|"Olivia Rodrigo"|"brutal"|143746|"SOUR"|1|"2021-05-21"|11|0.672|0.526|4|-6.446|1|0.0599|0.0311|1.37e-06|0.28|0.28|123.999|4
