"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
674|"6tcLyhPrmBEPaQ1Yz4MdGy"|"Ariana Grande"|"Greedy"|214880|"Dangerous Woman"|7|"2016-05-20"|17|0.59|0.704|1|-5.303|1|0.114|0.0367|0|0.0984|0.856|109.826|4
675|"1SAkL1mYNJlaqnBQxVZrRl"|"Sir Mix-A-Lot"|"Baby Got Back"|262826|"Mack Daddy"|3|"1992-01-01"|13|0.926|0.669|1|-11.271|1|0.301|0.0051|0|0.0887|0.642|128.462|4
676|"0CAfXk7DXMnon4gLudAp7J"|"Flo Rida"|"Low (feat. T-Pain)"|231400|"Mail on Sunday"|5|"2008-03-17"|14|0.918|0.609|10|-5.64|0|0.0791|0.0928|0|0.139|0.304|128.008|4
677|"0k2GOhqsrxDTAbFFSdNJjT"|"Sean Paul"|"Temperature"|218573|"The Trinity"|11|"2005-09-26"|18|0.951|0.6|0|-4.675|0|0.0685|0.106|0|0.0712|0.822|125.04|4
678|"6A25J9As7towpxovYryAWr"|"JVLA"|"Such a Whore (Stellular Remix)"|147638|"Such a Whore (Stellular Remix)"|1|"2020-06-03"|1|0.624|0.614|2|-4.165|1|0.0448|0.00391|0.0278|0.187|0.139|168.87|4
679|"3ypMsqUwfNFMiooMLVHfkp"|"Village People"|"YMCA"|202573|"Can't Stop the Music (Original Soundtrack 1980)"|8|"1980"|10|0.742|0.696|6|-7.871|1|0.0735|0.19|0|0.151|0.84|126.432|3
680|"0Fl4PBfIwC5G1IQAF1luUm"|"Bilal Wahib"|"501"|127592|"501"|1|"2021-02-25"|1|0.613|0.796|8|-3.672|1|0.203|0.162|0|0.292|0.749|186.102|4
681|"5xTtaWoae3wi06K5WfVUUH"|"Taylor Swift"|"Shake It Off"|219200|"1989"|6|"2014-10-27"|13|0.647|0.785|7|-5.414|1|0.165|0.0561|0|0.148|0.943|160.015|4
682|"2PpruBYCo4H7WOBJ7Q2EwM"|"Outkast"|"Hey Ya!"|235213|"Speakerboxxx/The Love Below"|9|"2003"|40|0.727|0.974|4|-2.261|0|0.0664|0.103|0.000532|0.174|0.965|79.526|4
683|"2U8NXPTXZWG2O0ye2sYRiH"|"Icona Pop"|"I Love It (feat. Charli XCX)"|157152|"THIS IS... ICONA POP"|1|"2013-08-27"|11|0.711|0.906|8|-2.671|1|0.0284|0.00952|1.64e-05|0.153|0.824|125.916|4
