"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
540|"3lG6OtGDsYAOALxEmubQQm"|"Lana Del Rey"|"Happiness is a butterfly"|272485|"Norman Fucking Rockwell!"|13|"2019-08-30"|14|0.467|0.119|2|-10.99|1|0.0401|0.969|1.4e-06|0.0973|0.156|70.499|4
541|"57asCheDC0X1S9QnyTsmOQ"|"Mellow Fellow"|"Dancing"|282671|"Dancing"|1|"2017-07-18"|1|0.373|0.474|8|-7.856|0|0.031|0.736|9.26e-05|0.287|0.387|101.918|4
542|"2360kP32TSUkneabH6cEkA"|"Claire Rosinkranz"|"Pretty Little Things"|164802|"6 Of A Billion"|2|"2021-07-09"|6|0.506|0.371|0|-9.648|1|0.0717|0.782|0|0.11|0.45|79.01|4
543|"4DcifSti1LKnT8A5zFajFd"|"Claire Rosinkranz"|"Fall Apart"|179692|"6 Of A Billion"|4|"2021-07-09"|6|0.472|0.199|7|-12.397|1|0.0816|0.883|0|0.0866|0.0841|67.625|4
544|"5HUOJAkVpnhpCUxONfXiKW"|"Claire Rosinkranz"|"LAX"|204127|"6 Of A Billion"|6|"2021-07-09"|6|0.545|0.434|1|-7.716|1|0.0702|0.679|0|0.251|0.387|127.125|4
545|"3Tnd73B4R6Yvzo1nTxu0dz"|"ella jane"|"Thief"|206351|"Thief"|1|"2021-07-09"|1|0.582|0.248|2|-9.967|1|0.031|0.863|0|0.251|0.388|146.767|4
546|"51Grh1RyUDcMBbpuyUIUHI"|"Liana Flores"|"rises the moon"|161929|"recently"|1|"2019-04-10"|5|0.483|0.129|5|-20.149|0|0.0349|0.947|0.145|0.106|0.203|137.35|3
547|"6fFSDDBO5Gc9Y2i2CA8vZI"|"Alexander 23"|"Dirty AF1s"|137000|"Dirty AF1s"|1|"2019-03-14"|1|0.687|0.668|8|-5.99|1|0.385|0.756|0|0.113|0.352|87.175|4
548|"0lX13P1uH2Hn6R9iavXWxJ"|"Fox Academy"|"Lavender Blood"|158785|"Luxury Beverage"|11|"2015-01-06"|15|0.358|0.161|1|-16.848|1|0.0368|0.987|0.0315|0.11|0.204|83.351|4
549|"172rW45GEnGoJUuWfm1drt"|"Mitski"|"Your Best American Girl"|212183|"Puberty 2"|5|"2016-06-17"|11|0.36|0.257|7|-9.655|1|0.0315|0.0159|0.00512|0.226|0.13|76.972|4
550|"3UChNf9rb9hJZvOcU9HCTb"|"Mitski"|"Liquid Smooth"|169773|"Lush"|1|"2012-01-31"|9|0.356|0.342|7|-9.469|0|0.0383|0.837|0|0.136|0.116|113.52|3
551|"3iDMNG7MD7uCPMxBOa66ZI"|"Mitski"|"Goodbye, My Danish Sweetheart"|137024|"Retired from Sad, New Career in Business"|1|"2013-08-01"|11|0.652|0.435|1|-6.586|1|0.0384|0.813|0|0.106|0.473|120.006|4
552|"3DiRnA7UDlUPrGDOF9Zb4u"|"ROLE MODEL"|"play the part"|192066|"play the part"|1|"2018-11-08"|1|0.743|0.486|3|-7.347|1|0.0374|0.44|4.28e-05|0.144|0.346|109.015|4
553|"5bRuS5LK9OE8NhHsTipm3v"|"awfultune"|"Things That I Miss"|216037|"Peace and Quiet"|7|"2018-04-02"|8|0.529|0.176|8|-12.587|1|0.0556|0.938|0|0.318|0.239|78.242|4
554|"57VAuR1WgKFzcpO3ujQx9A"|"Clairo"|"Harbor"|264011|"Sling"|7|"2021-07-16"|12|0.38|0.167|6|-15.294|1|0.0374|0.95|0.000369|0.0844|0.195|93.112|4
555|"5Ga9HA1RoegXoq4TGolIi9"|"Babygirl"|"I Wish I Never Met You"|211744|"Lovers Fevers"|5|"2018-08-10"|5|0.82|0.494|1|-9.151|1|0.0309|0.281|0.0358|0.154|0.909|109.956|4
556|"3jt8YFtxRJOg99gmJuQBiC"|"Doja Cat"|"Alone"|228866|"Planet Her (Deluxe)"|13|"2021-06-27"|19|0.691|0.656|8|-5.864|0|0.172|0.543|1.22e-05|0.095|0.746|169.973|4
557|"4HOryCnbme0zBnF8LWij3f"|"Billie Eilish"|"Getting Older"|244221|"Happier Than Ever"|1|"2021-07-30"|16|0.599|0.128|10|-17.261|1|0.109|0.974|0.121|0.115|0.367|159.679|4
558|"5XsAal7ZcWg1I5T4NcRjkv"|"Billie Eilish"|"Halley's Comet"|234761|"Happier Than Ever"|8|"2021-07-30"|16|0.403|0.159|1|-16.728|0|0.104|0.961|0.0121|0.34|0.0381|72.38|4
559|"1PWeVeuvAirind2BIsHpkw"|"david hugo"|"Falling Hearts"|199849|"Blossom Hill"|10|"2021-07-09"|10|0.776|0.311|2|-12.905|1|0.205|0.898|9.75e-05|0.289|0.24|133.108|4
560|"0juvhjhqBclichzepAQAHU"|"Claire Rosinkranz"|"Seriouslaaay"|222374|"BeVerly Hills BoYfRiEnd"|4|"2020-08-14"|4|0.627|0.4|7|-9.328|0|0.101|0.479|0|0.555|0.338|121.715|4
561|"6E6n27YzMs6wbiYnERsj3k"|"Peach Tree Rascals"|"Plus"|272718|"Plus"|1|"2019-02-07"|1|0.567|0.287|1|-11.219|1|0.281|0.877|2.69e-06|0.0925|0.564|178.068|4
562|"6PGPpQcsbVT9MNRX58jjOf"|"Claire Rosinkranz"|"Sugar Water"|167704|"Sugar Water"|1|"2019-10-10"|1|0.728|0.264|7|-12.246|1|0.0668|0.775|0|0.107|0.342|130.123|4
563|"1Mhf6QIO0UuVr2ZvQPgymt"|"Cigarettes After Sex"|"Kiss It Off Me"|269933|"Cry"|2|"2019-10-25"|9|0.521|0.298|4|-12.471|1|0.0258|0.753|0.496|0.111|0.235|80.259|4
564|"3VSYkAf6f46i5ZkXOHORq1"|"Cigarettes After Sex"|"Sweet"|291640|"Cigarettes After Sex"|6|"2017-06-09"|10|0.448|0.511|6|-9.084|1|0.0274|0.362|0.823|0.129|0.112|96.321|4
565|"2y7JqO7Jc7ErdOmxpvifRF"|"Cigarettes After Sex"|"Crush"|266666|"Crush"|1|"2018-07-10"|2|0.401|0.505|5|-8.574|1|0.0252|0.0869|0.779|0.11|0.287|97.796|4
566|"3aUOsR4iJ1y6GDDY3r1T7J"|"Ricky Montgomery"|"Talk to You - acoustic"|230209|"Talk to You (remixes)"|3|"2021-08-20"|5|0.731|0.534|2|-8.203|1|0.0343|0.299|0.000411|0.115|0.698|162.053|4
567|"2eUmt1vpwc7pl0SImUEWfJ"|"Ricky Montgomery"|"Talk to You - slow"|243940|"Talk to You (remixes)"|4|"2021-08-20"|5|0.527|0.636|0|-7.278|1|0.0275|0.0637|0.00634|0.268|0.288|158.968|4
568|"2W779g2UrRZtVdf3FcEOO1"|"Lyn Lapid"|"In My Mind"|162794|"In My Mind"|1|"2021-08-20"|1|0.668|0.392|2|-12.178|0|0.0585|0.789|0.00275|0.345|0.323|135.936|3
569|"73q3pSigeXXZKFtAuIsF3N"|"Dylan Sinclair"|"Home"|201442|"Proverb"|3|"2020-09-25"|8|0.376|0.344|0|-12.004|1|0.0513|0.709|0.0404|0.104|0.06|84.545|5
570|"2QdVcmVPIxW826rRJDf58l"|"Ruel"|"Face To Face"|203746|"Free Time"|5|"2019-09-13"|7|0.711|0.634|9|-4.351|1|0.0668|0.139|0|0.103|0.356|90.04|4
571|"4sW92fjvu3GxkwDucZKWzG"|"Pomplamoose"|"Oh, Pretty Woman"|188863|"Oh, Pretty Woman"|1|"2020-06-03"|1|0.771|0.379|11|-8.978|0|0.0406|0.49|0.000537|0.0681|0.719|115.91|4
572|"42Bz8LLNx5VDJM8x6D7xod"|"ella jane"|"the sellout"|196956|"the sellout"|1|"2021-08-19"|1|0.591|0.43|7|-11.546|1|0.0283|0.459|0|0.475|0.424|91.877|4
573|"3YJJjQPAbDT7mGpX3WtQ9A"|"SZA"|"Good Days"|279204|"Good Days"|1|"2020-12-25"|1|0.436|0.655|1|-8.37|0|0.0583|0.499|8.1e-06|0.688|0.412|121.002|4
574|"3hUxzQpSfdDqwM3ZTFQY0K"|"Taylor Swift"|"august"|261922|"folklore"|8|"2020-07-24"|16|0.532|0.623|5|-9.208|1|0.0331|0.538|7.28e-05|0.0925|0.403|89.937|4
575|"5QKE7ODTNKUqo9ZAyhtZ5J"|"Faye Webster"|"Right Side of My Neck"|153320|"Atlanta Millionaires Club"|2|"2019-05-24"|10|0.72|0.515|1|-9.072|1|0.0262|0.00126|0.000255|0.331|0.322|117.051|4
576|"5F9WcQalHpZAwKzWi6pBWg"|"Ricky Montgomery"|"Sorry for Me"|197513|"Sorry for Me"|1|"2021-10-15"|1|0.513|0.494|1|-7.407|1|0.0278|0.159|1.5e-05|0.102|0.316|145.147|4
