"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
271|"7twP7khiuYDmcfaLij9D8f"|"Claire Rosinkranz"|"Parking Lot"|236353|"Real Life"|2|"2021-02-26"|2|0.584|0.561|5|-8.303|1|0.372|0.265|0|0.137|0.357|112.783|4
272|"0ggd7i0Cs01zTehsBBEUaS"|"Claire Rosinkranz"|"Best Friend"|217148|"Best Friend"|1|"2019-10-02"|1|0.705|0.472|0|-6.544|1|0.0745|0.558|0|0.189|0.207|131.922|4
273|"19YOJKCVvOL7v6B2Oe3UBc"|"Maude Latour"|"One More Weekend"|142829|"One More Weekend"|1|"2020-07-24"|1|0.627|0.565|3|-6.922|1|0.122|0.537|0|0.214|0.514|131.083|3
274|"6zeeWid2sgw4lap2jV61PZ"|"Khalid"|"Better"|229320|"Suncity"|6|"2018-10-18"|7|0.596|0.552|0|-10.278|0|0.097|0.0765|0.334|0.104|0.112|97.949|4
275|"3XRCW9Ty46AMuKEPFjAZom"|"Luke Chiang"|"Used to Me"|179500|"Used to Me"|1|"2019-06-11"|1|0.776|0.508|5|-6.973|0|0.151|0.32|1.53e-05|0.329|0.692|100.048|4
276|"1RMJOxR6GRPsBHL8qeC2ux"|"Daniel Caesar"|"Best Part (feat. H.E.R.)"|209831|"Freudian"|2|"2017-08-25"|10|0.524|0.364|7|-10.209|1|0.0367|0.808|0|0.1|0.436|75.24|4
277|"6dEme7VnveKZyYKjlcOoni"|"Matty Reynolds"|"(another) hotel party"|153275|"(another) hotel party"|1|"2021-08-13"|1|0.591|0.597|7|-7.114|1|0.0268|0.235|0|0.186|0.581|84.925|4
278|"1uigwk5hNV84zRd5YQQRTk"|"Natasha Bedingfield"|"Pocketful of Sunshine"|202906|"Pocketful Of Sunshine"|2|"2007-04-27"|13|0.721|0.88|9|-3.896|0|0.0454|0.191|0|0.0769|0.655|110.021|4
279|"5lz0NiPw32Gq4kMIUJvuw2"|"Rowan Blanchard"|"Take On the World - Theme Song From ""Girl Meets World"""|192640|"Take On the World (Theme Song From ""Girl Meets World"")"|1|"2014-01-01"|1|0.638|0.713|5|-6.475|1|0.0388|0.00103|0.000241|0.0466|0.703|115.967|4
280|"4VWahNC3hzIZpJsb1aNBB8"|"SEB"|"killer lover boy"|134120|"IT’S OKAY, WE’RE DREAMING"|5|"2021-07-30"|6|0.707|0.682|0|-7.614|1|0.0346|0.568|1.02e-06|0.308|0.887|90.003|4
